NOMENCLATURE;AGPR;CONSO
045;5;1497
0450;5;206
04500;5;206
0451;5;792
04511;5;792
0452;5;283
0452Z;5;283
0453;5;138
0453Z;5;138
045A;5;77
045AZ;5;77
046;5;132
0461;5;132
04611;5;132
05;5;1678
051;5;432
0511;5;419
0511Z;5;419
051A;5;13
051AZ;5;13
052;5;81
0521;5;81
0521Z;5;81
053;5;180
0531;5;155
0531Z;5;155
0532;5;24
05321;5;24
054;5;97
0541;5;97
0541Z;5;97
055;5;253
0551;5;88
0551Z;5;88
0552;5;165
0552Z;5;165
056;5;562
0561;5;271
0561Z;5;271
0562;5;291
0562Z;5;291
057;5;74
0571;5;74
0571Z;5;74
06;5;514
061;5;266
0611;5;266
0611Z;5;266
062;5;215
0621;5;108
06211;5;108
0622;5;42
06221;5;42
0623;5;65
0623Z;5;65
063;5;17
0631;5;17
06311;5;17
064;5;16
0641;5;16
0641Z;5;16
07;5;4759
071;5;2076
0711;5;1972
0711Z;5;1972
0712;5;69
07121;5;69
0713;5;35
07131;5;35
072;5;1788
0721;5;106
07211;5;106
0722;5;1220
07221;5;1220
0723;5;336
07231;5;336
0724;5;126
0724Z;5;126
073;5;483
0736;5;15
07361;5;15
073Z;5;468
073ZZ;5;468
074;5;412
0741;5;412
0741Z;5;412
08;5;721
081;5;721
0811;5;28
08111;5;28
0812;5;54
08121;5;54
0813;5;639
08131;5;639
09;5;2522
091;5;224
0911;5;70
0911Z;5;70
0913;5;72
09131;5;72
0914;5;57
09141;5;57
091A;5;25
091AZ;5;25
092;5;126
092Z;5;126
092ZZ;5;126
093;5;412
0931;5;69
0931Z;5;69
0932;5;170
09321;5;170
093A;5;173
093AZ;5;173
094;5;731
0941;5;231
09411;5;231
0942;5;459
0942Z;5;459
0943;5;42
09431;5;42
095;5;350
0951;5;123
09511;5;123
0952;5;138
09521;5;138
0953;5;13
09531;5;13
0954;5;76
09541;5;76
096;5;431
0961;5;431
09611;5;431
097;5;247
0971;5;247
0971Z;5;247
10;5;184
101;5;184
1011;5;2
10111;5;2
1012;5;16
10121;5;16
1013;5;115
10131;5;115
1014;5;16
10141;5;16
1015;5;36
1015Z;5;36
11;5;1722
111;5;1383
1111;5;880
11111;5;555
11112;5;325
1112;5;209
11121;5;209
1113;5;294
1113Z;5;294
112;5;339
1121;5;339
11211;5;339
12;5;4254
121;5;735
1211;5;334
12111;5;334
1212;5;401
1212Z;5;401
123;5;174
1231;5;61
12311;5;61
1232;5;61
1232Z;5;61
1233;5;52
12331;5;52
124;5;9
1241;5;9
12411;5;9
125;5;2571
1251;5;45
12511;5;45
1252;5;412
12521;5;412
1253;5;1212
12531;5;1212
1254;5;727
12541;5;727
1255;5;175
12551;5;175
126;5;161
1261;5;161
12611;5;161
127;5;540
1271;5;540
1271Z;5;540
128;5;34
1281;5;34
12811;5;34
129;5;30
1291;5;30
12911;5;30
13;5;11805
131;5;4771
1314;5;3298
13141;5;3298
1315;5;18
13151;5;18
1316;5;31
13161;5;31
131A;5;1424
131AZ;5;1424
132;5;2668
132Z;5;2668
132ZZ;5;2668
133;5;1313
1331;5;1313
13311;5;1313
134;5;1830
134Z;5;1830
134ZZ;5;1830
135;5;1223
1351;5;1223
13511;5;1223
CTOTALE;5;27585
01;6;4664
011;6;4196
0111;6;729
01111;6;26
01112;6;502
01113;6;42
01114;6;117
01115;6;42
0112;6;1082
01121;6;299
01122;6;87
01123;6;47
01124;6;154
01125;6;356
01126;6;123
01127;6;15
0113;6;385
01130;6;162
01131;6;24
01132;6;82
01133;6;26
01134;6;91
0114;6;576
01145;6;300
01147;6;47
0114A;6;59
0114B;6;170
0115;6;111
01151;6;49
0115A;6;44
0115B;6;18
0116;6;429
01161;6;84
01162;6;29
01168;6;58
01169;6;9
0116A;6;250
0117;6;486
01175;6;9
01176;6;12
